model,corruption,severity,support_n,metric,value,clean_reference,absolute_delta,development_only
PaddleOCR-VL-1.6-0.9B,clean,clean,10,content_presence_recall,0.9131652661064426,0.9131652661064426,0.0,True
PaddleOCR-VL-1.6-0.9B,clean,clean,10,critical_content_presence_recall,0.875,0.875,0.0,True
PaddleOCR-VL-1.6-0.9B,clean,clean,10,latency_seconds,10.155651752199628,10.155651752199628,0.0,True
PaddleOCR-VL-1.6-0.9B,gaussian_blur,low,10,content_presence_recall,0.863598166539343,0.9131652661064426,-0.04956709956709959,True
PaddleOCR-VL-1.6-0.9B,gaussian_blur,low,10,critical_content_presence_recall,0.8,0.875,-0.07499999999999996,True
PaddleOCR-VL-1.6-0.9B,gaussian_blur,low,10,latency_seconds,10.230123680799807,10.155651752199628,0.07447192860017893,True
PaddleOCR-VL-1.6-0.9B,gaussian_blur,high,10,content_presence_recall,0.8620448179271709,0.9131652661064426,-0.05112044817927164,True
PaddleOCR-VL-1.6-0.9B,gaussian_blur,high,10,critical_content_presence_recall,0.8607142857142858,0.875,-0.014285714285714235,True
PaddleOCR-VL-1.6-0.9B,gaussian_blur,high,10,latency_seconds,8.556011541500448,10.155651752199628,-1.5996402106991798,True
PaddleOCR-VL-1.6-0.9B,rotation,low,10,content_presence_recall,0.8556149732620321,0.9131652661064426,-0.05755029284441049,True
PaddleOCR-VL-1.6-0.9B,rotation,low,10,critical_content_presence_recall,0.7535714285714286,0.875,-0.12142857142857144,True
PaddleOCR-VL-1.6-0.9B,rotation,low,10,latency_seconds,7.900402230299915,10.155651752199628,-2.255249521899713,True
PaddleOCR-VL-1.6-0.9B,rotation,high,10,content_presence_recall,0.8718487394957983,0.9131652661064426,-0.04131652661064422,True
PaddleOCR-VL-1.6-0.9B,rotation,high,10,critical_content_presence_recall,0.7785714285714286,0.875,-0.09642857142857142,True
PaddleOCR-VL-1.6-0.9B,rotation,high,10,latency_seconds,8.860341892600264,10.155651752199628,-1.2953098595993637,True
PaddleOCR-VL-1.6-0.9B,downsampling,low,10,content_presence_recall,0.9060224089635854,0.9131652661064426,-0.0071428571428571175,True
PaddleOCR-VL-1.6-0.9B,downsampling,low,10,critical_content_presence_recall,0.875,0.875,0.0,True
PaddleOCR-VL-1.6-0.9B,downsampling,low,10,latency_seconds,9.21247758619993,10.155651752199628,-0.9431741659996984,True
PaddleOCR-VL-1.6-0.9B,downsampling,high,10,content_presence_recall,0.8631652661064426,0.9131652661064426,-0.04999999999999993,True
PaddleOCR-VL-1.6-0.9B,downsampling,high,10,critical_content_presence_recall,0.825,0.875,-0.050000000000000044,True
PaddleOCR-VL-1.6-0.9B,downsampling,high,10,latency_seconds,9.58212365340005,10.155651752199628,-0.5735280987995779,True
PaddleOCR-VL-1.6-0.9B,jpeg,low,10,content_presence_recall,0.8429271708683473,0.9131652661064426,-0.07023809523809521,True
PaddleOCR-VL-1.6-0.9B,jpeg,low,10,critical_content_presence_recall,0.775,0.875,-0.09999999999999998,True
PaddleOCR-VL-1.6-0.9B,jpeg,low,10,latency_seconds,8.982687061999787,10.155651752199628,-1.1729646901998407,True
PaddleOCR-VL-1.6-0.9B,jpeg,high,10,content_presence_recall,0.8766934046345811,0.9131652661064426,-0.03647186147186143,True
PaddleOCR-VL-1.6-0.9B,jpeg,high,10,critical_content_presence_recall,0.8,0.875,-0.07499999999999996,True
PaddleOCR-VL-1.6-0.9B,jpeg,high,10,latency_seconds,8.645628404300078,10.155651752199628,-1.5100233478995495,True
PaddleOCR-VL-1.6-0.9B,contrast,low,10,content_presence_recall,0.8429271708683473,0.9131652661064426,-0.07023809523809521,True
PaddleOCR-VL-1.6-0.9B,contrast,low,10,critical_content_presence_recall,0.775,0.875,-0.09999999999999998,True
PaddleOCR-VL-1.6-0.9B,contrast,low,10,latency_seconds,8.119317631300145,10.155651752199628,-2.0363341208994825,True
PaddleOCR-VL-1.6-0.9B,contrast,high,10,content_presence_recall,0.869550547491724,0.9131652661064426,-0.04361471861471855,True
PaddleOCR-VL-1.6-0.9B,contrast,high,10,critical_content_presence_recall,0.8,0.875,-0.07499999999999996,True
PaddleOCR-VL-1.6-0.9B,contrast,high,10,latency_seconds,9.887417707299937,10.155651752199628,-0.2682340448996907,True
PaddleOCR-VL-1.6-0.9B,occlusion,low,10,content_presence_recall,0.8529411764705882,0.9131652661064426,-0.06022408963585435,True
PaddleOCR-VL-1.6-0.9B,occlusion,low,10,critical_content_presence_recall,0.8035714285714286,0.875,-0.0714285714285714,True
PaddleOCR-VL-1.6-0.9B,occlusion,low,10,latency_seconds,8.442031541299912,10.155651752199628,-1.713620210899716,True
PaddleOCR-VL-1.6-0.9B,occlusion,high,10,content_presence_recall,0.6922281639928699,0.9131652661064426,-0.22093710211357265,True
PaddleOCR-VL-1.6-0.9B,occlusion,high,10,critical_content_presence_recall,0.7,0.875,-0.17500000000000004,True
PaddleOCR-VL-1.6-0.9B,occlusion,high,10,latency_seconds,7.4952675601998635,10.155651752199628,-2.660384191999764,True
