feature,reference_mean,current_mean,standardized_mean_difference,psi,alert
blur,380.3041283089849,204.88156761118057,-0.3748460201708602,0.6678304261835715,True
contrast,44.083366079484136,40.91049802169067,-0.18773177611358777,0.11457255029306632,False
estimated_skew,0.0,0.0,0.0,0,False
image_megapixels,2.6804728,2.5961116799999995,-0.026561565006984547,0.21499608533297918,True
text_token_count,21.64,28.6,0.6133037028759384,3.017172701129479,True
line_item_count,2.38,3.0,0.302748955908251,0.15020752979116556,False
aspect_ratio,0.6530989393291491,0.6518016420318518,-0.01731221975730886,0.00984952970195588,False
confidence,0.9925450265407563,0.9911454021930695,-0.15561429209881822,0.2937259269482758,True
risk_score,0.007454973459243774,0.008854597806930542,0.15561429209881328,0.31693990190490223,True
latency_seconds,2.4817253293599424,3.3475885602200286,0.5348613868901522,0.6466378113631266,True
