corruption,all_field_value_recall,critical_field_value_recall,documents,line_item_row_recall,total_exact_match
blur,0.8816568047337279,0.8461538461538461,13,0.7115384615384616,1.0
clipping,0.935897435897436,0.9,12,1.0,0.9166666666666666
illumination,0.9349112426035504,0.9076923076923079,13,1.0,0.9230769230769231
jpeg,0.9408284023668639,0.9384615384615386,13,0.9743589743589743,1.0
low_resolution,0.7371794871794871,0.6666666666666666,12,0.3333333333333333,0.5833333333333334
none,0.9467455621301776,0.9384615384615386,13,1.0,1.0
perspective,0.935897435897436,0.9,12,1.0,1.0
rotation,0.935897435897436,0.9000000000000002,12,1.0,0.75
