field_family,support_gold,support_predicted,true_positive,precision,recall,f1,exact_match_rate,errors
free_text,39,33,22,0.6666666666666666,0.5641025641025641,0.611111111111111,0.5116279069767442,21
item_count,220,218,190,0.8715596330275229,0.8636363636363636,0.8675799086757991,0.8444444444444444,35
item_name,251,262,181,0.6908396946564885,0.7211155378486056,0.7056530214424951,0.6703703703703704,89
item_price,246,259,201,0.7760617760617761,0.8170731707317073,0.7960396039603961,0.7556390977443609,65
other_numeric,340,312,256,0.8205128205128205,0.7529411764705882,0.7852760736196318,0.7052341597796143,107
subtotal,66,66,60,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8955223880597015,7
tax,44,44,38,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8444444444444444,7
total,95,97,88,0.9072164948453608,0.9263157894736842,0.9166666666666665,0.8979591836734694,10
