target_risk,threshold,accepted_n,coverage,observed_binary_risk,binary_upper_bound_95,observed_weighted_loss,weighted_upper_bound_95,status
0.05,0.2635410800913949,9,0.45,0.3333333333333333,0.6550586340562967,0.1435544845032114,1.0,INSUFFICIENT_CERTIFICATION_SUPPORT
0.1,0.6191360552058423,18,0.9,0.3333333333333333,0.5540455583593004,0.10589873612352776,0.7280970802146776,UNCERTIFIED
0.2,0.6191360552058423,18,0.9,0.3333333333333333,0.5540455583593004,0.10589873612352776,0.7280970802146776,UNCERTIFIED
