slice_family,slice,support_n,metric,donut,ppocr_rules,paired_delta,ci95_low,ci95_high,practical_significance,identical_document_ids
all,all,95,total_exact,0.9894736842105263,0.4631578947368421,0.5263157894736842,0.42105263157894735,0.6210526315789474,True,True
ground_truth_leaf_count,low,38,total_exact,0.9736842105263158,0.47368421052631576,0.5,0.34210526315789475,0.6578947368421053,True,True
ground_truth_leaf_count,mid,26,total_exact,1.0,0.34615384615384615,0.6538461538461539,0.46153846153846156,0.8076923076923077,True,True
ground_truth_leaf_count,high,31,total_exact,1.0,0.5483870967741935,0.45161290322580644,0.2903225806451613,0.6129032258064516,True,True
