scenario,policy,review_budget,review_rate,automation_coverage,selective_risk,critical_false_accept_rate,critical_error_capture,residual_weighted_risk,normalized_expected_cost,sensitivity_cost
review_inexpensive,rfdi_composite_risk,0.3,0.3,0.7,0.5714285714285714,0.32857142857142857,0.41025641025641024,4.3,8.05,3.4357142857142855
review_inexpensive,rfdi_composite_risk,0.4,0.4,0.6,0.55,0.3333333333333333,0.48717948717948717,3.65,7.05,3.533333333333333
review_inexpensive,rfdi_composite_risk,0.5,0.5,0.5,0.52,0.36,0.5384615384615384,3.1,6.3,3.8499999999999996
review_expensive,raw_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6789473684210527
review_expensive,raw_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,3.4222222222222225
review_expensive,raw_confidence,0.2,0.2,0.8,0.5625,0.25,0.48717948717948717,4.25,7.45,2.9
review_expensive,raw_confidence,0.3,0.3,0.7,0.5142857142857142,0.21428571428571427,0.6153846153846154,3.3,5.85,2.742857142857143
review_expensive,raw_confidence,0.4,0.4,0.6,0.4666666666666667,0.2,0.6923076923076923,2.6,4.8,2.8
review_expensive,raw_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,2.8
review_expensive,calibrated_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6789473684210527
review_expensive,calibrated_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,3.4222222222222225
review_expensive,calibrated_confidence,0.2,0.2,0.8,0.5625,0.275,0.4358974358974359,4.45,7.95,3.15
review_expensive,calibrated_confidence,0.3,0.3,0.7,0.5285714285714286,0.24285714285714285,0.5641025641025641,3.55,6.4,3.0285714285714285
review_expensive,calibrated_confidence,0.4,0.4,0.6,0.4666666666666667,0.21666666666666667,0.6666666666666666,2.7,5.05,2.966666666666667
review_expensive,calibrated_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,2.8
review_expensive,model_disagreement,0.05,0.05,0.95,0.6421052631578947,0.3894736842105263,0.05128205128205128,6.75,12.35,3.994736842105263
review_expensive,model_disagreement,0.1,0.1,0.9,0.6444444444444445,0.37777777777777777,0.1282051282051282,6.3,11.5,3.977777777777778
review_expensive,model_disagreement,0.2,0.2,0.8,0.6625,0.3875,0.20512820512820512,5.75,10.6,4.275
review_expensive,model_disagreement,0.3,0.3,0.7,0.6571428571428571,0.38571428571428573,0.3076923076923077,5.0,9.35,4.457142857142857
review_expensive,model_disagreement,0.4,0.4,0.6,0.65,0.4166666666666667,0.358974358974359,4.45,8.6,4.966666666666667
review_expensive,model_disagreement,0.5,0.5,0.5,0.64,0.44,0.4358974358974359,3.8,7.6,5.4
review_expensive,confidence_plus_reconciliation,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6789473684210527
review_expensive,confidence_plus_reconciliation,0.1,0.1,0.9,0.6111111111111112,0.34444444444444444,0.20512820512820512,5.85,10.6,3.644444444444445
review_expensive,confidence_plus_reconciliation,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,3.65
review_expensive,confidence_plus_reconciliation,0.3,0.3,0.7,0.5428571428571428,0.24285714285714285,0.5641025641025641,3.6,6.45,3.0285714285714285
review_expensive,confidence_plus_reconciliation,0.4,0.4,0.6,0.48333333333333334,0.2,0.6923076923076923,2.65,4.85,2.8
review_expensive,confidence_plus_reconciliation,0.5,0.5,0.5,0.44,0.2,0.7435897435897436,2.1,4.1,3.0
review_expensive,rfdi_composite_risk,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,3.6789473684210527
review_expensive,rfdi_composite_risk,0.1,0.1,0.9,0.6333333333333333,0.36666666666666664,0.15384615384615385,6.15,11.2,3.8666666666666667
review_expensive,rfdi_composite_risk,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,3.65
review_expensive,rfdi_composite_risk,0.3,0.3,0.7,0.5714285714285714,0.32857142857142857,0.41025641025641024,4.3,8.05,3.8857142857142857
review_expensive,rfdi_composite_risk,0.4,0.4,0.6,0.55,0.3333333333333333,0.48717948717948717,3.65,7.05,4.133333333333333
review_expensive,rfdi_composite_risk,0.5,0.5,0.5,0.52,0.36,0.5384615384615384,3.1,6.3,4.6
critical_error_high,raw_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,7.207894736842105
critical_error_high,raw_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,6.544444444444444
critical_error_high,raw_confidence,0.2,0.2,0.8,0.5625,0.25,0.48717948717948717,4.25,7.45,5.2
critical_error_high,raw_confidence,0.3,0.3,0.7,0.5142857142857142,0.21428571428571427,0.6153846153846154,3.3,5.85,4.585714285714285
critical_error_high,raw_confidence,0.4,0.4,0.6,0.4666666666666667,0.2,0.6923076923076923,2.6,4.8,4.4
critical_error_high,raw_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,4.1
critical_error_high,calibrated_confidence,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,7.207894736842105
critical_error_high,calibrated_confidence,0.1,0.1,0.9,0.6111111111111112,0.32222222222222224,0.2564102564102564,5.65,10.1,6.544444444444444
critical_error_high,calibrated_confidence,0.2,0.2,0.8,0.5625,0.275,0.4358974358974359,4.45,7.95,5.7
critical_error_high,calibrated_confidence,0.3,0.3,0.7,0.5285714285714286,0.24285714285714285,0.5641025641025641,3.55,6.4,5.157142857142857
critical_error_high,calibrated_confidence,0.4,0.4,0.6,0.4666666666666667,0.21666666666666667,0.6666666666666666,2.7,5.05,4.733333333333334
critical_error_high,calibrated_confidence,0.5,0.5,0.5,0.4,0.18,0.7692307692307693,1.9,3.75,4.1
critical_error_high,model_disagreement,0.05,0.05,0.95,0.6421052631578947,0.3894736842105263,0.05128205128205128,6.75,12.35,7.8394736842105255
critical_error_high,model_disagreement,0.1,0.1,0.9,0.6444444444444445,0.37777777777777777,0.1282051282051282,6.3,11.5,7.655555555555555
critical_error_high,model_disagreement,0.2,0.2,0.8,0.6625,0.3875,0.20512820512820512,5.75,10.6,7.95
critical_error_high,model_disagreement,0.3,0.3,0.7,0.6571428571428571,0.38571428571428573,0.3076923076923077,5.0,9.35,8.014285714285714
critical_error_high,model_disagreement,0.4,0.4,0.6,0.65,0.4166666666666667,0.358974358974359,4.45,8.6,8.733333333333334
critical_error_high,model_disagreement,0.5,0.5,0.5,0.64,0.44,0.4358974358974359,3.8,7.6,9.3
critical_error_high,confidence_plus_reconciliation,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,7.207894736842105
critical_error_high,confidence_plus_reconciliation,0.1,0.1,0.9,0.6111111111111112,0.34444444444444444,0.20512820512820512,5.85,10.6,6.988888888888889
critical_error_high,confidence_plus_reconciliation,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,6.7
critical_error_high,confidence_plus_reconciliation,0.3,0.3,0.7,0.5428571428571428,0.24285714285714285,0.5641025641025641,3.6,6.45,5.157142857142857
critical_error_high,confidence_plus_reconciliation,0.4,0.4,0.6,0.48333333333333334,0.2,0.6923076923076923,2.65,4.85,4.4
critical_error_high,confidence_plus_reconciliation,0.5,0.5,0.5,0.44,0.2,0.7435897435897436,2.1,4.1,4.5
critical_error_high,rfdi_composite_risk,0.05,0.05,0.95,0.631578947368421,0.35789473684210527,0.1282051282051282,6.4,11.55,7.207894736842105
critical_error_high,rfdi_composite_risk,0.1,0.1,0.9,0.6333333333333333,0.36666666666666664,0.15384615384615385,6.15,11.2,7.433333333333333
critical_error_high,rfdi_composite_risk,0.2,0.2,0.8,0.6,0.325,0.3333333333333333,5.0,9.1,6.7
critical_error_high,rfdi_composite_risk,0.3,0.3,0.7,0.5714285714285714,0.32857142857142857,0.41025641025641024,4.3,8.05,6.871428571428571
critical_error_high,rfdi_composite_risk,0.4,0.4,0.6,0.55,0.3333333333333333,0.48717948717948717,3.65,7.05,7.066666666666666
critical_error_high,rfdi_composite_risk,0.5,0.5,0.5,0.52,0.36,0.5384615384615384,3.1,6.3,7.699999999999999
