candidate,AURC,PR_AUC,AUROC,Brier,ECE
R0,0.2550294297332314,0.4752913500732115,0.6325,0.32433096397743827,0.32343977987766265
R2,0.26361648291279277,0.4247959292169819,0.596875,0.21133625303850603,0.18486896030412872
R1,0.26939544718939384,0.4507530823504925,0.59625,0.31403943909035337,0.2934397798776626
R4,0.28351496952144417,0.3994000688963006,0.5512500000000001,0.2378240632499952,0.15265117269347137
R5,0.30744016001715246,0.36582474107674334,0.52875,0.3064540840754573,0.2830508474576271
R3,0.3605541876983299,0.3882574355769127,0.50375,0.37657593337004286,0.39019830896965396
