document_id,corruption,severity,critical_content_presence_recall,critical_proxy_error,leaf_f1,risk_score,analysis_scope,risk_increase_from_source_clean
cord-v2-validation-00009,jpeg,low,0.0,1,0.5,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00009,jpeg,high,0.0,1,0.5,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00009,contrast,low,0.0,1,0.5,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00009,contrast,high,0.0,1,0.5,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00009,occlusion,low,0.0,1,0.3636363636363636,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00009,occlusion,high,0.0,1,0.5,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,clean,clean,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,gaussian_blur,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,gaussian_blur,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,rotation,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,rotation,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,downsampling,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,downsampling,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,jpeg,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,jpeg,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,contrast,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,contrast,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,occlusion,low,1.0,0,0.7142857142857143,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00012,occlusion,high,1.0,0,0.8,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,clean,clean,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,gaussian_blur,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,gaussian_blur,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,rotation,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,rotation,high,1.0,0,1.0,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.20490059461756077
cord-v2-validation-00006,downsampling,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,downsampling,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,jpeg,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,jpeg,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,contrast,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,contrast,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,occlusion,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00006,occlusion,high,0.0,1,0.2727272727272727,0.39916261792623675,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.20490059461756077
cord-v2-validation-00007,clean,clean,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,gaussian_blur,low,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,gaussian_blur,high,0.0,1,0,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,rotation,low,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
